first_two_cards,royal_flush,straight_flush,four_of_a_kind,full_house,flush,straight,three_of_a_kind,two_pairs,one_pair,high_card
same suit: A 2,0.00002312673450508788,0.0009599954690479337,0.0012592270950933565,0.022241310955464517,0.06483745209462138,0.11876899696048632,0.043423511865430725,0.2213993090298099,0.40573543015726177,0.121351639638279
same suit: A 3,0.00002312673450508788,0.0008509694349525193,0.0012592270950933565,0.022241310955464517,0.0649464781287168,0.09648237648435877,0.043423511865430725,0.2213993090298099,0.4124752213558874,0.13689846891578092
same suit: A 4,0.00002312673450508788,0.0007518548585021428,0.0012592270950933565,0.022241310955464517,0.06504559270516717,0.08326473975344069,0.043423511865430725,0.2213993090298099,0.41921501255451304,0.1433763144480734
same suit: A 5,0.00002312673450508788,0.0006782268874247202,0.0012592270950933565,0.022241310955464517,0.0651192206762446,0.0778729067945402,0.043423511865430725,0.2213993090298099,0.4246068455134135,0.1433763144480734
same suit: A 6,0.00002312673450508788,0.0002756329173667617,0.0012592270950933565,0.022241310955464517,0.06552181464630255,0.07447610866733373,0.0436882893768053,0.2226467367705639,0.4286507202325889,0.14121703260397592
same suit: A 7,0.00002312673450508788,0.0003511487851384772,0.0012592270950933565,0.022241310955464517,0.06544629877853084,0.0815953671015122,0.0436882893768053,0.2226467367705639,0.4232588872736884,0.13948960712869793
same suit: A 8,0.00002312673450508788,0.0003469010175763182,0.0012592270950933565,0.022241310955464517,0.065450546546093,0.07770865978213672,0.0436882893768053,0.2226467367705639,0.4232588872736884,0.1433763144480734
same suit: A 9,0.00002312673450508788,0.00032849402480696256,0.0012592270950933565,0.022241310955464517,0.06546895353886235,0.0763607015424116,0.0436882893768053,0.2226467367705639,0.4246068455134135,0.1433763144480734
same suit: A 10,0.0005116200041533727,0.0002888481942268119,0.0012592270950933565,0.022241310955464517,0.06502010609979422,0.09109054352545828,0.043423511865430725,0.2213993090298099,0.4178670543147879,0.13689846891578092
same suit: A J,0.0005116200041533727,0.0002520342086881006,0.0012592270950933565,0.022241310955464517,0.06505692008533293,0.08839462704600805,0.043423511865430725,0.2213993090298099,0.42056297079423816,0.13689846891578092
